track,artist,genres,followers,popularity,year
Pink + White,Frank Ocean,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",13142912,87,2016
I Love You So,The Walters,"['lgbtq+ hip hop', 'neo soul']",15949892,87,2014
Story of My Life,One Direction,"['chicago indie', 'pov: indie']",816045,87,2013
Starboy,"The Weeknd, Daft Punk","['boy band', 'pop', 'post-teen pop', 'talent show']",37185510,87,2016
Something Just Like This,"The Chainsmokers, Coldplay","['canadian contemporary r&b', 'canadian pop', 'pop']",93306180,87,2017
we fell in love in october,girl in red,"['electro', 'filter house', 'rock']",10215825,86,2018
lovely (with Khalid),"Billie Eilish, Khalid",['pop'],20561890,86,2018
Someone You Loved,Lewis Capaldi,"['permanent wave', 'pop']",54264946,86,2019
A Sky Full of Stars,Coldplay,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",7628855,86,2014
That's What I Like,Bruno Mars,"['art pop', 'pop']",101256898,86,2016
goosebumps,Travis Scott,"['pop', 'pop r&b']",16394561,86,2016
Lovers Rock,TV Girl,"['pop', 'uk pop']",12908306,86,2014
Believer,Imagine Dragons,"['permanent wave', 'pop']",54264946,85,2017
Shape of You,Ed Sheeran,"['dance pop', 'pop']",60992125,85,2017
Dark Red,Steve Lacy,"['rap', 'slap house']",33936597,85,2017
All The Stars (with SZA),"Kendrick Lamar, SZA",['pov: indie'],8236392,85,2018
One Dance,"Drake, Wizkid, Kyla","['modern rock', 'pop', 'rock']",54991082,85,2016
Dandelions,Ruth B.,"['pop', 'singer-songwriter pop', 'uk pop']",116764798,85,2017
Sure Thing,Miguel,['afrofuturism'],5212312,85,2010
Perfect,Ed Sheeran,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",33711454,85,2017
HIGHEST IN THE ROOM,Travis Scott,"['pop', 'r&b', 'rap']",23878271,85,2019
Disco,Surf Curse,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",92897778,85,2019
Counting Stars,OneRepublic,"['afrobeats', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",6208982,85,2013
Unforgettable,"French Montana, Swae Lee",['uk funky'],32665,85,2017
Revenge,XXXTENTACION,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",3769906,85,2017
Evergreen,Richy Mitch & The Coal Miners,"['r&b', 'urban contemporary']",5339675,85,2017
What Makes You Beautiful,One Direction,"['pop', 'singer-songwriter pop', 'uk pop']",116764798,85,2012
Say You Won't Let Go,James Arthur,"['rap', 'slap house']",33936597,84,2016
Why'd You Only Call Me When You're High?,Arctic Monkeys,"['dreamo', 'indie surf', 'pov: indie', 'surf punk', 'vegas indie']",1345121,84,2013
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer","['piano rock', 'pop']",17557059,84,2011
Iris,The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",2953155,87,1998
Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",93306180,87,2020
Creep,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",10738634,86,1993
Gangsta's Paradise,"Coolio, L.V.","['g funk', 'gangster rap', 'hip hop', 'west coast rap']",1262713,85,1995
Linger,The Cranberries,[],40877,84,1993
Thunderstruck,AC/DC,"['irish rock', 'pop rock', 'rock']",4584881,83,1990
Kiss Me,Sixpence None The Richer,"['australian rock', 'hard rock', 'rock']",29658710,83,1997
I Want It That Way,Backstreet Boys,"['lilith', 'pop rock']",601248,83,1999
Chop Suey!,System Of A Down,"['boy band', 'dance pop', 'pop']",5945126,83,2001
Scar Tissue,Red Hot Chili Peppers,"['alternative metal', 'nu metal', 'rap metal', 'rock']",11536253,83,1999
Losing My Religion,R.E.M.,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",21498008,82,1991
Fade Into You,Mazzy Star,"['alternative rock', 'athens indie', 'permanent wave', 'rock']",4755551,82,1993
